[CC] 0.785000mA,

测量时间,已测时间 (H),光感电流 (uA),亮度剩余比例 (%),器件亮度 (cd/m2),电压 (V),电流 (mA)
2026/4/1 18:19:21,0.000000,3.666284,100.000000,924.787510,3.798561,0.785389,
2026/4/1 18:24:21,0.083334,3.664151,99.941841,924.249664,3.811920,0.785377,
2026/4/1 18:29:21,0.166668,3.662973,99.909700,923.952427,3.813622,0.785357,
2026/4/1 18:34:21,0.250001,3.661818,99.878211,923.661223,3.814688,0.785366,
2026/4/1 18:39:21,0.333335,3.661006,99.856053,923.456302,3.815870,0.785359,
2026/4/1 18:44:21,0.416669,3.659776,99.822493,923.145949,3.816726,0.785345,
2026/4/1 18:49:21,0.500003,3.659016,99.801761,922.954216,3.817655,0.785348,
2026/4/1 18:54:21,0.583337,3.658088,99.776460,922.720236,3.818455,0.785341,
2026/4/1 18:59:21,0.666670,3.657150,99.750873,922.483617,3.819082,0.785340,
2026/4/1 19:04:21,0.750005,3.655983,99.719045,922.189272,3.819774,0.785325,
2026/4/1 19:09:21,0.833338,3.655229,99.698473,921.999029,3.820551,0.785321,
2026/4/1 19:14:21,0.916673,3.654145,99.668925,921.725769,3.821266,0.785331,
2026/4/1 19:19:21,1.000008,3.653473,99.650588,921.556191,3.822122,0.785319,
2026/4/1 19:24:21,1.083343,3.652677,99.628862,921.355274,3.822622,0.785337,
2026/4/1 19:29:21,1.166678,3.651715,99.602631,921.112692,3.822943,0.785315,
2026/4/1 19:34:21,1.250012,3.650667,99.574036,920.848252,3.823344,0.785311,
2026/4/1 19:39:21,1.333347,3.650056,99.557379,920.694207,3.823880,0.785334,
2026/4/1 19:44:21,1.416681,3.648991,99.528326,920.425526,3.824275,0.785331,
2026/4/1 19:49:21,1.500015,3.648283,99.509013,920.246924,3.824653,0.785335,
2026/4/1 19:54:21,1.583348,3.647544,99.488867,920.060614,3.825126,0.785331,
2026/4/1 19:59:21,1.666683,3.646782,99.468079,919.868371,3.825262,0.785346,
2026/4/1 20:04:21,1.750017,3.645687,99.438214,919.592186,3.825774,0.785336,
2026/4/1 20:09:21,1.833351,3.645151,99.423602,919.457052,3.826138,0.785347,
2026/4/1 20:14:21,1.916686,3.644151,99.396316,919.204712,3.826086,0.785354,
2026/4/1 20:19:21,2.000020,3.643608,99.381510,919.067796,3.826407,0.785363,
2026/4/1 20:24:21,2.083354,3.642810,99.359731,918.866380,3.826625,0.785358,
2026/4/1 20:29:21,2.166687,3.642048,99.338949,918.674191,3.826728,0.785366,
2026/4/1 20:34:21,2.250021,3.641144,99.314296,918.446203,3.826761,0.785370,
2026/4/1 20:39:21,2.333356,3.640530,99.297544,918.291286,3.826931,0.785375,
2026/4/1 20:44:21,2.416691,3.639609,99.272443,918.059153,3.826964,0.785383,
2026/4/1 20:49:21,2.500025,3.638998,99.255774,917.905005,3.827101,0.785367,
2026/4/1 20:54:21,2.583359,3.638239,99.235059,917.713434,3.827237,0.785379,
2026/4/1 20:59:21,2.666692,3.637536,99.215891,917.536170,3.827381,0.785364,
2026/4/1 21:04:21,2.750027,3.636516,99.188070,917.278882,3.827877,0.785366,
2026/4/1 21:09:21,2.833362,3.635904,99.171381,917.124543,3.827943,0.785361,
2026/4/1 21:14:21,2.916698,3.634919,99.144514,916.876079,3.828312,0.785344,
