[CC] 0.785000mA,

测量时间,已测时间 (H),光感电流 (uA),亮度剩余比例 (%),器件亮度 (cd/m2),电压 (V),电流 (mA)
2026/4/1 18:19:14,0.000000,4.530985,100.000000,933.809021,3.808637,0.786131,
2026/4/1 18:24:14,0.083334,4.529653,99.970602,933.534495,3.821882,0.786114,
2026/4/1 18:29:14,0.166668,4.528502,99.945191,933.297208,3.823408,0.786111,
2026/4/1 18:34:14,0.250003,4.527707,99.927656,933.133470,3.824715,0.786117,
2026/4/1 18:39:14,0.333337,4.526307,99.896757,932.844928,3.825722,0.786111,
2026/4/1 18:44:14,0.416671,4.525280,99.874083,932.633196,3.826943,0.786105,
2026/4/1 18:49:14,0.500004,4.524295,99.852348,932.430228,3.827719,0.786113,
2026/4/1 18:54:14,0.583338,4.523276,99.829848,932.220126,3.828509,0.786100,
2026/4/1 18:59:14,0.666671,4.522184,99.805758,931.995176,3.829432,0.786098,
2026/4/1 19:04:14,0.750006,4.521437,99.789258,931.841097,3.830297,0.786093,
2026/4/1 19:09:14,0.833341,4.520128,99.760379,931.571415,3.831085,0.786081,
2026/4/1 19:14:14,0.916674,4.519175,99.739340,931.374958,3.831876,0.786087,
2026/4/1 19:19:14,1.000009,4.518228,99.718445,931.179839,3.832529,0.786064,
2026/4/1 19:24:14,1.083343,4.517365,99.699401,931.002003,3.833089,0.786076,
2026/4/1 19:29:14,1.166677,4.516357,99.677140,930.794125,3.833603,0.786071,
2026/4/1 19:34:14,1.250012,4.515658,99.661720,930.650133,3.834226,0.786075,
2026/4/1 19:39:14,1.333346,4.514406,99.634095,930.392163,3.834596,0.786083,
2026/4/1 19:44:14,1.416681,4.513499,99.614067,930.205147,3.835122,0.786081,
2026/4/1 19:49:14,1.500015,4.512529,99.592674,930.005371,3.835568,0.786075,
2026/4/1 19:54:14,1.583349,4.511693,99.574206,929.832920,3.836007,0.786074,
2026/4/1 19:59:14,1.666683,4.510775,99.553955,929.643815,3.836265,0.786088,
2026/4/1 20:04:14,1.750017,4.510167,99.540524,929.518391,3.836800,0.786080,
2026/4/1 20:09:14,1.833350,4.508887,99.512276,929.254611,3.837103,0.786091,
2026/4/1 20:14:14,1.916685,4.508038,99.493539,929.079639,3.837233,0.786084,
2026/4/1 20:19:14,2.000018,4.507336,99.478058,928.935083,3.837314,0.786108,
2026/4/1 20:24:14,2.083352,4.506333,99.455909,928.728248,3.837709,0.786098,
2026/4/1 20:29:14,2.166687,4.505503,99.437608,928.557349,3.837804,0.786099,
2026/4/1 20:34:14,2.250020,4.504863,99.423482,928.425439,3.837992,0.786111,
2026/4/1 20:39:14,2.333355,4.503822,99.400506,928.210887,3.838101,0.786108,
2026/4/1 20:44:14,2.416690,4.502837,99.378757,928.007797,3.838161,0.786105,
2026/4/1 20:49:14,2.500025,4.502120,99.362924,927.859944,3.838408,0.786112,
2026/4/1 20:54:14,2.583359,4.501286,99.344537,927.688246,3.838437,0.786121,
2026/4/1 20:59:14,2.666693,4.500363,99.324154,927.497912,3.838773,0.786118,
2026/4/1 21:04:14,2.750027,4.499765,99.310956,927.374666,3.838836,0.786102,
2026/4/1 21:09:14,2.833362,4.498682,99.287055,927.151476,3.839222,0.786101,
2026/4/1 21:14:14,2.916696,4.497755,99.266607,926.960534,3.839648,0.786102,
2026/4/1 21:19:14,3.000032,4.496997,99.249867,926.804213,3.840008,0.786107,
2026/4/1 21:24:14,3.083365,4.496137,99.230878,926.626894,3.840121,0.786098,
2026/4/1 21:29:14,3.166699,4.495278,99.211934,926.449988,3.840405,0.786082,
2026/4/1 21:34:14,3.250033,4.494734,99.199927,926.337863,3.841015,0.786090,
2026/4/1 21:39:14,3.333366,4.493532,99.173403,926.090180,3.841366,0.786085,
2026/4/1 21:44:14,3.416701,4.492753,99.156196,925.929505,3.841702,0.786073,
2026/4/1 21:49:14,3.500036,4.492025,99.140137,925.779542,3.841980,0.786080,
2026/4/1 21:54:14,3.583369,4.491218,99.122332,925.613281,3.842278,0.786076,
2026/4/1 21:59:14,3.666704,4.490356,99.103310,925.435652,3.842662,0.786077,
2026/4/1 22:04:14,3.750038,4.489617,99.086984,925.283194,3.843056,0.786058,
2026/4/1 22:09:14,3.833372,4.489042,99.074296,925.164710,3.843270,0.786066,
2026/4/1 22:14:14,3.916707,4.488063,99.052687,924.962929,3.843508,0.786067,
2026/4/1 22:19:14,4.000043,4.487590,99.042263,924.865584,3.843759,0.786072,
2026/4/1 22:24:14,4.083378,4.486688,99.022354,924.679674,3.843956,0.786087,
2026/4/1 22:29:14,4.166713,4.485756,99.001780,924.487550,3.844327,0.786073,
2026/4/1 22:34:14,4.250047,4.485108,98.987480,924.354016,3.844500,0.786082,
2026/4/1 22:39:14,4.333381,4.484535,98.974833,924.235918,3.844851,0.786081,
2026/4/1 22:44:14,4.416716,4.483596,98.954115,924.042450,3.844999,0.786082,
2026/4/1 22:49:14,4.500051,4.483112,98.943428,923.942654,3.844846,0.786075,
2026/4/1 22:54:14,4.583385,4.482135,98.921854,923.741197,3.845075,0.786081,
2026/4/1 22:59:14,4.666720,4.481355,98.904640,923.580455,3.845175,0.786088,
2026/4/1 23:04:14,4.750054,4.480619,98.888411,923.428901,3.845173,0.786094,
2026/4/1 23:09:14,4.833389,4.480110,98.877176,923.323984,3.845111,0.786085,
2026/4/1 23:14:14,4.916723,4.479139,98.855738,923.123800,3.845213,0.786099,
2026/4/1 23:19:14,5.000058,4.478559,98.842940,923.004291,3.845256,0.786095,
2026/4/1 23:24:14,5.083391,4.477589,98.821530,922.804359,3.845076,0.786089,
2026/4/1 23:29:14,5.166725,4.476881,98.805904,922.658446,3.845218,0.786095,
2026/4/1 23:34:14,5.250060,4.476195,98.790760,922.517030,3.845229,0.786100,
2026/4/1 23:39:14,5.333394,4.475707,98.779983,922.416395,3.845261,0.786098,
2026/4/1 23:44:14,5.416729,4.474863,98.761355,922.242439,3.845324,0.786107,
2026/4/1 23:49:14,5.500062,4.474345,98.749926,922.135718,3.845343,0.786110,
2026/4/1 23:54:14,5.583398,4.473463,98.730456,921.953906,3.845293,0.786099,
2026/4/1 23:59:14,5.666733,4.472730,98.714297,921.803010,3.845202,0.786115,
2026/4/2 0:04:14,5.750068,4.472058,98.699450,921.664366,3.845124,0.786104,
2026/4/2 0:09:14,5.833402,4.471543,98.688102,921.558399,3.845208,0.786108,
2026/4/2 0:14:14,5.916737,4.470590,98.667053,921.361841,3.844932,0.786119,
2026/4/2 0:19:14,6.000072,4.470151,98.657372,921.271442,3.844866,0.786116,
2026/4/2 0:24:14,6.083406,4.469181,98.635963,921.071523,3.845106,0.786115,
2026/4/2 0:29:14,6.166741,4.468487,98.620640,920.928434,3.844989,0.786103,
2026/4/2 0:34:14,6.250076,4.467833,98.606210,920.793688,3.845241,0.786109,
2026/4/2 0:39:14,6.333409,4.467360,98.595770,920.696196,3.845466,0.786119,
2026/4/2 0:44:14,6.416743,4.466463,98.575979,920.511383,3.845361,0.786103,
2026/4/2 0:49:14,6.500076,4.466018,98.566147,920.419569,3.845211,0.786105,
2026/4/2 0:54:14,6.583413,4.465153,98.547055,920.241284,3.845442,0.786107,
2026/4/2 0:59:14,6.666748,4.464402,98.530483,920.086540,3.845491,0.786095,
2026/4/2 1:04:14,6.750082,4.463759,98.516304,919.954132,3.845610,0.786097,
2026/4/2 1:09:14,6.833417,4.463217,98.504345,919.842459,3.845815,0.786082,
2026/4/2 1:14:14,6.916752,4.462401,98.486326,919.674194,3.845830,0.786085,
2026/4/2 1:19:14,7.000087,4.461935,98.476036,919.578104,3.845972,0.786078,
2026/4/2 1:24:14,7.083421,4.461022,98.455880,919.389891,3.846096,0.786085,
2026/4/2 1:29:14,7.166756,4.460310,98.440169,919.243178,3.846299,0.786083,
2026/4/2 1:34:14,7.250090,4.459740,98.427591,919.125726,3.846388,0.786079,
2026/4/2 1:39:14,7.333424,4.459243,98.416629,919.023364,3.846608,0.786081,
2026/4/2 1:44:14,7.416758,4.458619,98.402847,918.894665,3.846731,0.786084,
