[CC] 0.785000mA,

测量时间,已测时间 (H),光感电流 (uA),亮度剩余比例 (%),器件亮度 (cd/m2),电压 (V),电流 (mA)
2026/4/1 18:19:44,0.000000,1.941963,100.000000,935.271264,3.667233,0.786342,
2026/4/1 18:24:44,0.083335,1.939293,99.862554,933.985770,3.679946,0.786310,
2026/4/1 18:29:44,0.166669,1.938572,99.825408,933.638353,3.681981,0.786305,
2026/4/1 18:34:44,0.250003,1.937841,99.787771,933.286343,3.683462,0.786299,
2026/4/1 18:39:44,0.333338,1.937189,99.754166,932.972052,3.684782,0.786291,
2026/4/1 18:44:44,0.416672,1.936621,99.724911,932.698438,3.686048,0.786286,
2026/4/1 18:49:44,0.500007,1.936016,99.693788,932.407355,3.687105,0.786284,
2026/4/1 18:54:44,0.583342,1.935387,99.661397,932.104407,3.687872,0.786274,
2026/4/1 18:59:44,0.666676,1.934803,99.631345,931.823338,3.688840,0.786281,
2026/4/1 19:04:44,0.750010,1.934267,99.603693,931.564722,3.690000,0.786260,
2026/4/1 19:09:44,0.833344,1.933777,99.578493,931.329029,3.690726,0.786253,
2026/4/1 19:14:44,0.916679,1.933111,99.544201,931.008311,3.691604,0.786255,
2026/4/1 19:19:44,1.000014,1.932657,99.520818,930.789612,3.692383,0.786246,
2026/4/1 19:24:44,1.083348,1.932199,99.497234,930.569035,3.693146,0.786246,
2026/4/1 19:29:44,1.166682,1.931600,99.466405,930.280701,3.693499,0.786258,
2026/4/1 19:34:44,1.250017,1.931240,99.447867,930.107326,3.694211,0.786271,
2026/4/1 19:39:44,1.333351,1.930778,99.424042,929.884497,3.694838,0.786264,
2026/4/1 19:44:44,1.416686,1.930234,99.396060,929.622787,3.695272,0.786256,
2026/4/1 19:49:44,1.500020,1.929649,99.365930,929.340987,3.695798,0.786248,
2026/4/1 19:54:44,1.583354,1.929320,99.348969,929.182362,3.696119,0.786252,
2026/4/1 19:59:44,1.666689,1.928689,99.316509,928.878769,3.696675,0.786253,
2026/4/1 20:04:44,1.750023,1.928346,99.298825,928.713379,3.697029,0.786267,
2026/4/1 20:09:44,1.833358,1.927930,99.277378,928.512789,3.697309,0.786268,
2026/4/1 20:14:44,1.916692,1.927467,99.253563,928.290051,3.697818,0.786262,
2026/4/1 20:19:44,2.000027,1.926990,99.228984,928.060177,3.697987,0.786266,
2026/4/1 20:24:44,2.083361,1.926568,99.207288,927.857258,3.698032,0.786275,
2026/4/1 20:29:44,2.166695,1.926103,99.183309,927.632992,3.698295,0.786276,
2026/4/1 20:34:44,2.250030,1.925736,99.164401,927.456144,3.698679,0.786287,
2026/4/1 20:39:44,2.333364,1.925381,99.146153,927.285482,3.698754,0.786296,
2026/4/1 20:44:44,2.416699,1.925010,99.127060,927.106903,3.698936,0.786293,
2026/4/1 20:49:44,2.500034,1.924576,99.104691,926.897695,3.699295,0.786291,
2026/4/1 20:54:44,2.583369,1.924163,99.083397,926.698539,3.699555,0.786300,
2026/4/1 20:59:44,2.666702,1.923726,99.060931,926.488424,3.699898,0.786298,
2026/4/1 21:04:44,2.750037,1.923344,99.041227,926.304132,3.700127,0.786297,
2026/4/1 21:09:44,2.833372,1.922907,99.018735,926.093776,3.700376,0.786278,
2026/4/1 21:14:44,2.916707,1.922412,98.993232,925.855256,3.700869,0.786262,
2026/4/1 21:19:44,3.000041,1.922061,98.975165,925.686276,3.701250,0.786273,
2026/4/1 21:24:44,3.083376,1.921610,98.951936,925.469019,3.701752,0.786254,
2026/4/1 21:29:44,3.166711,1.921075,98.924400,925.211489,3.701902,0.786252,
2026/4/1 21:34:44,3.250046,1.920708,98.905488,925.034608,3.702331,0.786236,
2026/4/1 21:39:44,3.333380,1.920220,98.880391,924.799880,3.703010,0.786231,
2026/4/1 21:44:44,3.416714,1.919798,98.858634,924.596398,3.703355,0.786226,
2026/4/1 21:49:44,3.500049,1.919391,98.837665,924.400278,3.703790,0.786231,
2026/4/1 21:54:44,3.583383,1.919010,98.818095,924.217250,3.704040,0.786236,
2026/4/1 21:59:44,3.666718,1.918608,98.797358,924.023297,3.704358,0.786238,
2026/4/1 22:04:44,3.750052,1.918053,98.768771,923.755937,3.704832,0.786238,
2026/4/1 22:09:44,3.833386,1.917810,98.756276,923.639075,3.705065,0.786236,
2026/4/1 22:14:44,3.916720,1.917601,98.745526,923.538534,3.705377,0.786248,
2026/4/1 22:19:44,4.000056,1.917162,98.722883,923.326758,3.705691,0.786244,
2026/4/1 22:24:44,4.083390,1.916782,98.703330,923.143887,3.705801,0.786250,
2026/4/1 22:29:44,4.166725,1.916298,98.678430,922.911000,3.706012,0.786243,
2026/4/1 22:34:44,4.250059,1.915953,98.660645,922.744661,3.706193,0.786250,
2026/4/1 22:39:44,4.333394,1.915568,98.640825,922.559292,3.706352,0.786244,
2026/4/1 22:44:44,4.416729,1.915405,98.632408,922.480572,3.706544,0.786257,
2026/4/1 22:49:44,4.500063,1.915077,98.615536,922.322766,3.706752,0.786254,
2026/4/1 22:54:44,4.583397,1.914629,98.592455,922.106900,3.706867,0.786271,
2026/4/1 22:59:44,4.666732,1.914242,98.572522,921.920471,3.706987,0.786265,
2026/4/1 23:04:44,4.750067,1.913879,98.553854,921.745878,3.707133,0.786274,
2026/4/1 23:09:44,4.833400,1.913600,98.539491,921.611539,3.707249,0.786278,
2026/4/1 23:14:44,4.916736,1.913359,98.527101,921.495658,3.707340,0.786284,
2026/4/1 23:19:44,5.000069,1.913001,98.508632,921.322932,3.707359,0.786273,
2026/4/1 23:24:44,5.083403,1.912561,98.485990,921.111163,3.707264,0.786273,
2026/4/1 23:29:44,5.166736,1.912270,98.470991,920.970878,3.707216,0.786286,
