[CC] 0.785000mA,

测量时间,已测时间 (H),光感电流 (uA),亮度剩余比例 (%),器件亮度 (cd/m2),电压 (V),电流 (mA)
2026/4/1 18:18:49,0.000000,3.531647,100.000000,934.383723,3.690163,0.785664,
2026/4/1 18:23:49,0.083334,3.529518,99.939727,933.820538,3.702250,0.785650,
2026/4/1 18:28:49,0.166667,3.528747,99.917874,933.616351,3.703808,0.785646,
2026/4/1 18:33:49,0.250001,3.527905,99.894036,933.393613,3.705161,0.785648,
2026/4/1 18:38:49,0.333335,3.527169,99.873203,933.198956,3.706334,0.785634,
2026/4/1 18:43:49,0.416669,3.526460,99.853136,933.011452,3.707621,0.785636,
2026/4/1 18:48:49,0.500004,3.525729,99.832415,932.817840,3.708695,0.785632,
2026/4/1 18:53:49,0.583339,3.524799,99.806100,932.571952,3.709458,0.785626,
2026/4/1 18:58:49,0.666674,3.524041,99.784645,932.371483,3.710378,0.785617,
2026/4/1 19:03:49,0.750008,3.523327,99.764404,932.182355,3.711288,0.785624,
2026/4/1 19:08:49,0.833343,3.522472,99.740199,931.956186,3.712456,0.785618,
2026/4/1 19:13:49,0.916677,3.522007,99.727048,931.833305,3.713123,0.785605,
2026/4/1 19:18:49,1.000012,3.521401,99.709870,931.672794,3.713737,0.785611,
2026/4/1 19:23:49,1.083345,3.520379,99.680946,931.402537,3.714450,0.785604,
2026/4/1 19:28:49,1.166679,3.519813,99.664902,931.252622,3.714922,0.785604,
2026/4/1 19:33:49,1.250012,3.519117,99.645205,931.068575,3.715316,0.785605,
2026/4/1 19:38:49,1.333347,3.518359,99.623745,930.868053,3.715937,0.785607,
2026/4/1 19:43:49,1.416683,3.517832,99.608824,930.728640,3.716543,0.785612,
2026/4/1 19:48:49,1.500017,3.517200,99.590922,930.561364,3.717096,0.785606,
2026/4/1 19:53:49,1.583350,3.516393,99.568064,930.347781,3.717323,0.785610,
2026/4/1 19:58:49,1.666684,3.515726,99.549197,930.171493,3.717654,0.785611,
2026/4/1 20:03:49,1.750019,3.514975,99.527933,929.972803,3.718138,0.785609,
2026/4/1 20:08:49,1.833353,3.514396,99.511519,929.819438,3.718469,0.785606,
2026/4/1 20:13:49,1.916687,3.513965,99.499318,929.705434,3.719030,0.785619,
2026/4/1 20:18:49,2.000022,3.513339,99.481592,929.539800,3.719078,0.785621,
2026/4/1 20:23:49,2.083356,3.512364,99.453993,929.281924,3.719315,0.785622,
2026/4/1 20:28:49,2.166690,3.511964,99.442664,929.176066,3.719428,0.785619,
2026/4/1 20:33:49,2.250023,3.511318,99.424368,929.005112,3.719803,0.785628,
2026/4/1 20:38:49,2.333358,3.510703,99.406973,928.842580,3.719782,0.785626,
2026/4/1 20:43:49,2.416692,3.510326,99.396274,928.742602,3.719736,0.785633,
2026/4/1 20:48:49,2.500026,3.509570,99.374892,928.542817,3.720061,0.785624,
2026/4/1 20:53:49,2.583361,3.508759,99.351918,928.328151,3.720348,0.785632,
2026/4/1 20:58:49,2.666697,3.508154,99.334786,928.168075,3.720494,0.785637,
2026/4/1 21:03:49,2.750031,3.507656,99.320673,928.036201,3.721023,0.785626,
2026/4/1 21:08:49,2.833366,3.506989,99.301788,927.859740,3.721410,0.785633,
2026/4/1 21:13:49,2.916700,3.506523,99.288597,927.736491,3.721846,0.785625,
2026/4/1 21:18:49,3.000035,3.505855,99.269677,927.559708,3.722236,0.785620,
2026/4/1 21:23:49,3.083371,3.505047,99.246801,927.345954,3.722527,0.785625,
2026/4/1 21:28:49,3.166704,3.504606,99.234331,927.229435,3.722747,0.785626,
2026/4/1 21:33:49,3.250039,3.503938,99.215416,927.052701,3.723327,0.785616,
2026/4/1 21:38:49,3.333374,3.503382,99.199661,926.905484,3.723663,0.785605,
2026/4/1 21:43:49,3.416707,3.502897,99.185929,926.777176,3.724184,0.785610,
2026/4/1 21:48:49,3.500041,3.502341,99.170181,926.630033,3.724447,0.785598,
2026/4/1 21:53:49,3.583375,3.501693,99.151835,926.458608,3.724799,0.785611,
2026/4/1 21:58:49,3.666709,3.501029,99.133036,926.282954,3.725107,0.785591,
2026/4/1 22:03:49,3.750043,3.500543,99.119275,926.154372,3.725642,0.785608,
2026/4/1 22:08:49,3.833377,3.499909,99.101314,925.986550,3.725942,0.785606,
2026/4/1 22:13:49,3.916710,3.499314,99.084483,925.829281,3.726497,0.785605,
2026/4/1 22:18:49,4.000044,3.498784,99.069465,925.688955,3.726716,0.785597,
2026/4/1 22:23:49,4.083379,3.498352,99.057230,925.574636,3.726763,0.785597,
2026/4/1 22:28:49,4.166713,3.497611,99.036252,925.378616,3.727037,0.785599,
2026/4/1 22:33:49,4.250048,3.497312,99.027792,925.299568,3.727497,0.785612,
2026/4/1 22:38:49,4.333383,3.496489,99.004475,925.081699,3.727424,0.785588,
2026/4/1 22:43:49,4.416716,3.496001,98.990658,924.952599,3.727763,0.785593,
2026/4/1 22:48:49,4.500051,3.495456,98.975227,924.808408,3.727816,0.785598,
2026/4/1 22:53:49,4.583386,3.494845,98.957928,924.646773,3.727932,0.785596,
2026/4/1 22:58:49,4.666721,3.494386,98.944950,924.525506,3.728284,0.785601,
2026/4/1 23:03:49,4.750055,3.493918,98.931681,924.401526,3.728327,0.785603,
2026/4/1 23:08:49,4.833389,3.493332,98.915096,924.246553,3.728013,0.785593,
2026/4/1 23:13:49,4.916723,3.492820,98.900583,924.110951,3.727955,0.785606,
2026/4/1 23:18:49,5.000058,3.492295,98.885734,923.972200,3.728230,0.785611,
2026/4/1 23:23:49,5.083393,3.491873,98.873772,923.860429,3.728185,0.785608,
2026/4/1 23:28:49,5.166727,3.491380,98.859820,923.730070,3.728325,0.785614,
2026/4/1 23:33:49,5.250061,3.491012,98.849413,923.632821,3.728401,0.785603,
2026/4/1 23:38:49,5.333395,3.490260,98.828107,923.433742,3.728584,0.785614,
2026/4/1 23:43:49,5.416729,3.489775,98.814376,923.305446,3.728641,0.785604,
2026/4/1 23:48:49,5.500063,3.489352,98.802400,923.193545,3.728603,0.785620,
2026/4/1 23:53:49,5.583397,3.488800,98.786755,923.047359,3.728596,0.785616,
2026/4/1 23:58:49,5.666732,3.488279,98.772023,922.909710,3.728436,0.785621,
2026/4/2 0:03:49,5.750066,3.487985,98.763678,922.831732,3.728785,0.785620,
2026/4/2 0:08:49,5.833402,3.487361,98.746022,922.666761,3.728361,0.785629,
2026/4/2 0:13:49,5.916736,3.486799,98.730102,922.518005,3.728458,0.785632,
2026/4/2 0:18:49,6.000070,3.486506,98.721805,922.440481,3.728342,0.785632,
2026/4/2 0:23:49,6.083405,3.485876,98.703968,922.273810,3.728462,0.785644,
2026/4/2 0:28:49,6.166739,3.485402,98.690566,922.148586,3.728545,0.785646,
2026/4/2 0:33:49,6.250074,3.485018,98.679670,922.046775,3.728402,0.785631,
2026/4/2 0:38:49,6.333407,3.484448,98.663541,921.896066,3.728552,0.785637,
2026/4/2 0:43:49,6.416741,3.483824,98.645881,921.731057,3.728804,0.785630,
2026/4/2 0:48:49,6.500075,3.483573,98.638772,921.664628,3.728997,0.785635,
2026/4/2 0:53:49,6.583410,3.482917,98.620188,921.490981,3.728826,0.785633,
2026/4/2 0:58:49,6.666744,3.482478,98.607766,921.374916,3.728943,0.785628,
2026/4/2 1:03:49,6.750078,3.482121,98.597640,921.280295,3.729193,0.785618,
2026/4/2 1:08:49,6.833411,3.481500,98.580072,921.116143,3.729252,0.785624,
2026/4/2 1:13:49,6.916746,3.481134,98.569712,921.019346,3.729457,0.785632,
